Nombre de la tienda,Teléfono,Dirección,Ciudad,Código postal,Provincia,País,Página web,Google Maps,Latitud,Longitud
base: Todo Deporte,981 77 06 34,"Rúa Profesor José Antonio Míguez, 1",Betanzos,15300,A Coruña,ES,https://www.instagram.com/grupotododeporte/,"https://maps.google.com?daddr=R%C3%BAa%20Profesor%20Jos%C3%A9%20Antonio%20M%C3%ADguez%2C%201,+Betanzos,+A%20Coru%C3%B1a+15300,+ES",43.27770905,-8.21147135
Thebes,986 57 22 48,"Rúa Calvo Sotelo, 19",A Estrada,36680,Pontevedra,ES,https://thebesmoda.com/,"https://maps.google.com?daddr=R%C3%BAa%20Calvo%20Sotelo%2C%2019,+A%20Estrada,+Pontevedra+36680,+ES",42.69004530,-8.48912400
JOSEFINA RODRIGUEZ QUIROGA,981 45 06 32,"Rua Calvo Sotelo, 90",Sarria,27600,Lugo,ES,,"https://maps.google.com?daddr=Rua%20Calvo%20Sotelo%2C%2090,+Sarria,+Lugo+27600,+ES",42.78026610,-7.41298993
MARINA SADA,981 61 90 15,"Avenida do Porto, s/n",Sada,15160,A Coruña,ES,,"https://maps.google.com?daddr=Avenida%20do%20Porto%2C%20s%2Fn,+Sada,+A%20Coru%C3%B1a+15160,+ES",43.35773685,-8.24955565
FOOT ON MARS,615 55 66 28,"Av. Constitución, 2 - Ctro. Comercial El Rosal - Loc. 240B",PONFERRADA,27400,Leon,ES,https://footonmars.com/,"https://maps.google.com?daddr=Av.%20Constituci%C3%B3n%2C%202%20-%20Ctro.%20Comercial%20El%20Rosal%20-%20Loc.%20240B,+PONFERRADA,+Leon+27400,+ES",42.55069789,-6.59952607
ZAPATERIAS ALCALA,943 13 25 90,Lugar Forfontia (la Carrera) 4-,POLA DE SIERO,33519,Asturias,ES,,"https://maps.google.com?daddr=Lugar%20Forfontia%20%28la%20Carrera%29%204-,+POLA%20DE%20SIERO,+Asturias+33519,+ES",43.39091932,-5.66841012
El Corte Inglés,985 99 00 74,"Calle Ramón Areces, 2",Gijón,33211,Asturias,ES,https://www.elcorteingles.es/helly-hansen/deportes/,"https://maps.google.com?daddr=Calle%20Ram%C3%B3n%20Areces%2C%202,+Gij%C3%B3n,+Asturias+33211,+ES",43.52423713,-5.67911930
El Corte Inglés,987 26 31 00,"Calle Fray Luis de León, 29",León,24005,,ES,https://www.elcorteingles.es/helly-hansen/deportes/,"https://maps.google.com?daddr=Calle%20Fray%20Luis%20de%20Le%C3%B3n%2C%2029,+Le%C3%B3n,++24005,+ES",42.59069500,-5.56911180
Armería Castro - Tienda del Peregrino (Burgo Nuevo),987 09 03 30,"Calle Burgo Nuevo, 60",León,24001,,ES,https://armeriacastro.es/en/,"https://maps.google.com?daddr=Calle%20Burgo%20Nuevo%2C%2060,+Le%C3%B3n,++24001,+ES",42.59756700,-5.57010700
El Corte Inglés,+34985109000,"Calle del Gral. Elorza, 75",Oviedo,33002,Asturias,ES,https://www.elcorteingles.es/helly-hansen/deportes/,"https://maps.google.com?daddr=Calle%20del%20Gral.%20Elorza%2C%2075,+Oviedo,+Asturias+33002,+ES",43.36381020,-5.85170250
da2shop,984 09 27 62,"C. Gregorio Aurre, 10",Langreo,33949,Asturias,ES,https://es-es.facebook.com/Da2shop/,"https://maps.google.com?daddr=C.%20Gregorio%20Aurre%2C%2010,+Langreo,+Asturias+33949,+ES",43.30750700,-5.69116100
IRENKO,984 06 82 32,"C. Casimiro Velasco, 11",Gijón,33201,Asturias,ES,https://www.facebook.com/Irenkogijon/,"https://maps.google.com?daddr=C.%20Casimiro%20Velasco%2C%2011,+Gij%C3%B3n,+Asturias+33201,+ES",43.54012180,-5.65922960
VEGA,987 41 40 87,AVEN. ESPAÑA 21,PONFERRADA,24402,León,ES,http://vegaponferrada.com/,"https://maps.google.com?daddr=AVEN.%20ESPA%C3%91A%2021,+PONFERRADA,+Le%C3%B3n+24402,+ES",42.54644925,-6.59729859
UNCODE,984 24 28 38,"Calle Paredes, s/n - Local 71, C.C. Parque Principado",Siero,33429,Asturias,ES,https://uncode.es/content/4-tiendas-parque-principado,"https://maps.google.com?daddr=Calle%20Paredes%2C%20s%2Fn%20-%20Local%2071%2C%20C.C.%20Parque%20Principado,+Siero,+Asturias+33429,+ES",43.40513370,-5.78265970
Repnaval,985 34 03 43,"Calle Instituto, 2",Gijón,33201,Asturias,ES,http://www.repnaval.es,"https://maps.google.com?daddr=Calle%20Instituto%2C%202,+Gij%C3%B3n,+Asturias+33201,+ES",43.54432310,-5.66357420
Java Shop León,987 21 88 67,"Av. Lancia, 11",León,24004,,ES,https://javashop.es/es/,"https://maps.google.com?daddr=Av.%20Lancia%2C%2011,+Le%C3%B3n,++24004,+ES",42.59362480,-5.57399390
Norauto Asturias Avilés,985 51 69 81,"Pedrero, S/N",Trasona,33468,Asturias,ES,http://www.forumsport.com,"https://maps.google.com?daddr=Pedrero%2C%20S%2FN,+Trasona,+Asturias+33468,+ES",43.54906930,-5.87728880
